Word,Collocations,Phonetic,Definition,Synonyms,Antonyms,Context
Overconsumption / excessive consumption,reduce overconsumption (giảm việc tiêu thụ quá mức),/ˌoʊvərkənˈsʌmpʃən/,Việc tiêu thụ quá mức,overuse / wasteful spending,frugality / underconsumption,"Overconsumption of plastic goods is harming the oceans. (Việc tiêu thụ quá mức các sản phẩm nhựa đang làm hại các đại dương.)"
Overproduction / excessive production,avoid overproduction (tránh việc sản xuất quá mức),/ˌoʊvərprəˈdʌkʃən/,Việc sản xuất quá mức,surplus production / mass manufacturing,underproduction,"Overproduction in the fashion industry creates tons of waste. (Việc sản xuất quá mức trong ngành thời trang tạo ra hàng tấn rác thải.)"
Long-lived products / durable products,invest in long-lived products (đầu tư vào những sản phẩm có tuổi thọ dài),/lɔːŋ-lɪvd ˈprɑːdʌkts/,Những sản phẩm có tuổi thọ dài,long-lasting goods / robust items,disposable items / short-lived products,"Buying durable products saves money in the long run. (Mua các sản phẩm bền lâu sẽ tiết kiệm tiền về lâu dài.)"
Short-lived products / non-durable products,ban short-lived products (cấm những sản phẩm có tuổi thọ ngắn),/ʃɔːrt-lɪvd ˈprɑːdʌkts/,Những sản phẩm có tuổi thọ ngắn,perishable goods / disposable items,durable products,"Short-lived products contribute significantly to landfill overflow. (Những sản phẩm có tuổi thọ ngắn góp phần đáng kể vào việc quá tải bãi rác.)"
Repurchase / buy again,tend to repurchase (có xu hướng mua lại),/riˈpɜːrtʃəs/,Mua lại,buy anew / restock,boycott / stop buying,"Satisfied customers are more likely to repurchase the item. (Những khách hàng hài lòng có nhiều khả năng sẽ mua lại sản phẩm đó.)"
Repeat customers,attract repeat customers (thu hút những khách hàng sẽ mua hàng lại),/rɪˈpiːt ˈkʌstəmərz/,Những khách hàng sẽ mua hàng lại,loyal customers / regular patrons,one-time buyers,"Excellent service guarantees a steady flow of repeat customers. (Dịch vụ xuất sắc đảm bảo một lượng ổn định những khách hàng quay lại.)"
Make a dent in your finance,buying luxury cars will make a dent in your finance (mua xe sang sẽ làm giảm số tiền bạn đang có),/meɪk ə dɛnt ɪn jʊər ˈfaɪnæns/,Làm giảm số tiền bạn đang có,cost a fortune / drain your savings,save money / be economical,"Daily coffee purchases can really make a dent in your finance. (Việc mua cà phê hàng ngày thực sự có thể làm thâm hụt tài chính của bạn.)"
Higher profit margins for manufacturers,create higher profit margins for manufacturers (tạo ra lợi nhuận biên lớn hơn cho nhà sản xuất),/ˈhaɪər ˈprɑːfɪt ˈmɑːrdʒɪnz fɔːr ˌmænjəˈfæktʃərərz/,Lợi nhuận biên lớn hơn cho các nhà sản xuất,increased manufacturer profits / greater corporate earnings,lower profit margins / financial losses,"Cheap labor results in higher profit margins for manufacturers. (Lao động giá rẻ mang lại tỷ suất lợi nhuận cao hơn cho các nhà sản xuất.)"
Tempt customers into buying the latest novelty items,use ads to tempt customers into buying (sử dụng QC để thu hút khách hàng mua),/tɛmpt ˈkʌstəmərz ˈɪntuː ˈbaɪɪŋ/,Thu hút khách hàng mua những sản phẩm mới nhất,entice shoppers to buy / lure consumers,discourage buying,"Ads are designed to tempt customers into buying the latest novelty items. (Quảng cáo được thiết kế để dụ dỗ khách hàng mua những món đồ mới lạ nhất.)"
Disposable products,reduce the use of disposable products (giảm việc sử dụng những sản phẩm dùng 1 lần),/dɪˈspoʊzəbəl ˈprɑːdʌkts/,Những sản phẩm dùng 1 lần rồi vứt đi,single-use items / throwaway goods,reusable products / durable goods,"We should switch from disposable products to eco-friendly alternatives. (Chúng ta nên chuyển từ các sản phẩm dùng một lần sang các lựa chọn thân thiện với môi trường.)"
Solid waste generation rates,high solid waste generation rates (tỷ lệ thải ra chất thải rắn cao),/ˈsɑːlɪd weɪst ˌdʒɛnəˈreɪʃən reɪts/,Tỷ lệ thải ra chất thải rắn,garbage production levels / rubbish output rates,waste reduction,"Cities are struggling to manage their solid waste generation rates. (Các thành phố đang vật lộn để quản lý tỷ lệ phát sinh chất thải rắn của họ.)"
Environmental degradation,cause severe environmental degradation (gây ra sự suy thoái môi trường nghiêm trọng),/ɪnˌvaɪrənˈmɛntəl ˌdɛɡrəˈdeɪʃən/,Sự suy thoái môi trường,ecological ruin / environmental deterioration,environmental conservation / ecological restoration,"Plastic pollution leads to rapid environmental degradation. (Ô nhiễm nhựa dẫn đến sự suy thoái môi trường nhanh chóng.)"
Contaminate soil and water,toxic chemicals contaminate soil and water (hóa chất độc hại làm ô nhiễm đất và nước),/kənˈtæmɪneɪt sɔɪl ənd ˈwɔːtər/,Làm ô nhiễm đất và nước,pollute land and water / poison natural resources,purify / clean up,"Industrial waste can easily contaminate soil and water. (Chất thải công nghiệp có thể dễ dàng làm ô nhiễm đất và nước.)"
Increase consumer spending,ads aim to increase consumer spending (QC nhằm tăng chi tiêu của khách hàng),/ɪnˈkriːs kənˈsuːmər ˈspɛndɪŋ/,Tăng chi tiêu của khách hàng,boost buyer expenditure / stimulate consumption,reduce consumer spending,"The holiday season usually increases consumer spending. (Mùa lễ hội thường làm tăng chi tiêu của người tiêu dùng.)"
Bad spending habits,break bad spending habits (từ bỏ thói quen tiêu xài xấu),/bæd ˈspɛndɪŋ ˈhæbɪts/,Thói quen tiêu xài xấu,poor financial habits / wasteful spending,frugal habits / wise financial choices,"Impulse buying is one of the most common bad spending habits. (Mua sắm bốc đồng là một trong những thói quen chi tiêu xấu phổ biến nhất.)"
Leftover food,repurpose leftover food (tái sử dụng đồ ăn thừa),/ˈlɛftˌoʊvər fuːd/,Đồ ăn thừa,food scraps / uneaten food,freshly cooked food,"Don't throw away leftover food; save it for tomorrow's lunch. (Đừng vứt bỏ đồ ăn thừa; hãy để dành cho bữa trưa ngày mai.)"
A new version with more features,upgrade to a new version with more features (nâng cấp lên phiên bản mới với nhiều tính năng hơn),/ə nuː ˈvɜːrʒən wɪð mɔːr ˈfiːtʃərz/,Phiên bản mới với nhiều tính năng hơn,an updated model / the latest edition,an outdated version / an obsolete model,"Tech companies release a new version with more features every year. (Các công ty công nghệ phát hành một phiên bản mới với nhiều tính năng hơn mỗi năm.)"
Have a negative/detrimental/harmful effect on,have a detrimental effect on the environment (có ảnh hưởng có hại lên môi trường),/hæv ə ˌdɛtrəˈmɛntəl ɪˈfɛkt ɑːn/,Có ảnh hưởng có hại lên....,negatively impact / cause harm to,have a positive effect on,"Plastic bags have a harmful effect on marine ecosystems. (Túi nilon có tác động tồi tệ đối với hệ sinh thái biển.)"
