Word,Collocations,Phonetic,Definition,Synonyms,Antonyms,Context
Acupuncture,"undergo acupuncture (trải qua châm cứu) / acupuncture clinic (phòng khám châm cứu)","/'ækjuponktfər/","Châm cứu","alternative therapy, traditional Chinese medicine, needle therapy, holism","conventional medicine, allopathy, mainstream treatment","Acupuncture is widely used to relieve chronic back pain. (Châm cứu được sử dụng rộng rãi để giảm đau lưng mãn tính.)"
Aerobics,"do aerobics (tập aerobic) / water aerobics (thể dục nhịp điệu dưới nước)","/ εro biks/","Aerobic","cardio, physical exercises, gymnastics, rhythmic workouts","sedentary activity, inactivity, rest","Doing aerobics every morning improves cardiovascular health. (Tập aerobic mỗi sáng giúp cải thiện sức khỏe tim mạch.)"
Allergy,"suffer from an allergy (bị dị ứng) / food allergy (dị ứng thức ăn)","/'ælərdzi/","Dị ứng","hypersensitivity, reaction, intolerance, sensitivity","immunity, resistance, tolerance","He has a severe peanut allergy and must carry an EpiPen. (Anh ấy bị dị ứng đậu phộng nghiêm trọng và phải mang theo bút tiêm EpiPen.)"
Alternative medicine,"practice alternative medicine (hành nghề y học thay thế) / rely on alternative medicine (dựa vào y học thay thế)","/ol'tərnətıv medısın/","Y học thay thế","holistic medicine, non-conventional medicine, natural remedies, complementary medicine","conventional medicine, orthodox medicine, modern medicine","Many patients turn to alternative medicine when conventional treatments fail. (Nhiều bệnh nhân tìm đến y học thay thế khi các phương pháp điều trị thông thường thất bại.)"
Anemia,"suffer from anemia (bị thiếu máu) / iron-deficiency anemia (thiếu máu do thiếu sắt)","/ə'ni:miə/","Thiếu máu","blood deficiency, lack of iron, blood disease","healthy blood levels, robust health","Eating iron-rich foods can help prevent anemia. (Ăn thực phẩm giàu chất sắt có thể giúp ngăn ngừa bệnh thiếu máu.)"
Anesthesia,"under general anesthesia (dưới tác dụng của thuốc mê toàn thân) / administer anesthesia (gây mê)","/ænəsi:zǝ/","Gây mê","painkiller, numbing agent, anesthetic, sedation","consciousness, awareness, sensation","The patient was put under general anesthesia before the surgery. (Bệnh nhân đã được gây mê toàn thân trước khi phẫu thuật.)"
Antibiotics,"prescribe antibiotics (kê đơn kháng sinh) / course of antibiotics (liệu trình kháng sinh)","/ æntibar'a tıks/","Kháng sinh","antibacterial drugs, penicillin, medicine, cure","probiotics, bacteria","You should only take antibiotics when prescribed by a doctor. (Bạn chỉ nên dùng thuốc kháng sinh khi có chỉ định của bác sĩ.)"
Anxiety,"suffer from anxiety (mắc chứng lo âu) / relieve anxiety (giảm lo âu)","/æn zarəti/","Lo âu","worry, apprehension, nervousness, unease, stress","calmness, peace, tranquility, relaxation, serenity","Meditation is an effective way to cope with severe anxiety. (Thiền là một cách hiệu quả để đối phó với chứng lo âu nghiêm trọng.)"
Asthma,"asthma attack (cơn hen suyễn) / chronic asthma (hen suyễn mãn tính)","/'æzmə/","Hen suyễn","respiratory disorder, breathing difficulty, wheezing","healthy respiratory system, clear breathing","Air pollution can trigger an asthma attack in vulnerable people. (Ô nhiễm không khí có thể kích hoạt cơn hen suyễn ở những người dễ bị tổn thương.)"
Balance,"maintain a balance (duy trì sự cân bằng) / lose your balance (mất thăng bằng)","/'bæləns/","Cân bằng","equilibrium, stability, steadiness, symmetry, proportion","imbalance, instability, unevenness, unsteadiness","Yoga helps improve both physical and mental balance. (Yoga giúp cải thiện sự cân bằng cả về thể chất lẫn tinh thần.)"
Balanced diet,"eat a balanced diet (ăn chế độ ăn cân bằng) / maintain a balanced diet (duy trì chế độ ăn cân bằng)","/'bælənst 'darət/","Chế độ ăn uống cân đối","healthy diet, nutritious diet, well-rounded meals, wholesome nutrition","unhealthy diet, junk food diet, malnutrition, poor nutrition","A balanced diet is essential for a child's physical development. (Một chế độ ăn uống cân đối là rất cần thiết cho sự phát triển thể chất của trẻ.)"
Bandage,"wrap in a bandage (quấn băng) / apply a bandage (băng bó)","/'bændıdz/","Băng bó","dressing, wrapping, plaster, gauze, compress","","The nurse cleaned the wound and applied a fresh bandage. (Y tá đã làm sạch vết thương và dán một miếng băng mới.)"
Blood pressure,"high blood pressure (huyết áp cao) / check your blood pressure (kiểm tra huyết áp)","/blad 'prefǝr/","Huyết áp","blood flow, circulatory pressure","","Regular exercise helps lower high blood pressure. (Tập thể dục thường xuyên giúp làm giảm huyết áp cao.)"
Blood sugar,"blood sugar levels (mức đường huyết) / regulate blood sugar (điều hòa đường huyết)","/blad 'fugǝr/","Đường huyết","glucose levels, blood glucose","","Diabetics must monitor their blood sugar levels daily. (Người mắc bệnh tiểu đường phải theo dõi lượng đường trong máu hàng ngày.)"
Blood test,"take a blood test (làm xét nghiệm máu) / blood test results (kết quả xét nghiệm máu)","/blad test/","Xét nghiệm máu","blood analysis, blood work, diagnostic test","","The doctor ordered a blood test to check for infections. (Bác sĩ đã yêu cầu làm xét nghiệm máu để kiểm tra tình trạng nhiễm trùng.)"
Bones,"broken bones (xương gãy) / strengthen bones (làm chắc xương)","/bounz/","Xương","skeleton, skeletal framework, joints","","Calcium and Vitamin D are essential for healthy bones. (Canxi và Vitamin D rất thiết yếu cho xương chắc khỏe.)"
Cancer,"lung cancer (ung thư phổi) / cure for cancer (phương pháp chữa ung thư)","/'kænsǝr/","Ung thư","malignancy, tumor, carcinoma, disease","health, benign tumor","Early detection significantly increases the chances of surviving cancer. (Phát hiện sớm làm tăng đáng kể cơ hội sống sót sau bệnh ung thư.)"
Cardiovascular,"cardiovascular disease (bệnh tim mạch) / cardiovascular health (sức khỏe tim mạch)","/ kardiou'væskjələr/","Liên quan đến tim mạch","heart-related, circulatory, vascular","","Running is excellent for your cardiovascular system. (Chạy bộ rất tốt cho hệ tim mạch của bạn.)"
