Word,Collocations,Phonetic,Definition,Synonyms,Antonyms,Context
3D printing,adopt 3D printing (áp dụng in 3D) / widespread use of 3D printing (sử dụng in 3D rộng rãi),/eri: di: 'prıntın/,In 3D,Additive manufacturing,,"3D printing is revolutionizing the manufacturing industry. (In 3D đang cách mạng hóa ngành công nghiệp sản xuất.)"
Advancement,rapid advancement (tiến bộ nhanh chóng) / technological advancement (tiến bộ công nghệ),/əd vænsmənt/,"Sự tiến bộ, sự phát triển",Progress,Regression,"Technological advancements have changed our daily lives. (Những tiến bộ công nghệ đã thay đổi cuộc sống hàng ngày của chúng ta.)"
Algorithm,complex algorithm (thuật toán phức tạp) / search algorithm (thuật toán tìm kiếm),/'ælgərıðəm/,Thuật toán,Procedure,,"The app uses a complex algorithm to recommend videos. (Ứng dụng sử dụng một thuật toán phức tạp để đề xuất nội dung.)"
Artificial intelligence (AI),develop AI (phát triển AI) / AI technology (công nghệ AI),/artı fışəl ın telǝdzəns/,Trí tuệ nhân tạo,Machine intelligence,,"AI is widely used in customer service now. (Trí tuệ nhân tạo hiện được sử dụng rộng rãi trong dịch vụ khách hàng.)"
Augmented reality (AR),AR applications (các ứng dụng AR) / experience AR (trải nghiệm AR),/ :g'mentıd ri'æləti/,Thực tế tăng cường,Mixed reality,,"AR apps overlay digital information onto the real world. (Các ứng dụng AR phủ thông tin kỹ thuật số lên thế giới thực.)"
Automation,industrial automation (tự động hóa công nghiệp) / rely on automation (dựa vào tự động hóa),/ :tə meşən/,Tự động hóa,Mechanization,Manual operation,"Automation will replace many manual jobs. (Tự động hóa sẽ thay thế nhiều công việc thủ công.)"
Big data,analyze big data (phân tích dữ liệu lớn) / big data analytics (phân tích dữ liệu lớn),/big 'dertǝ/,Dữ liệu lớn,Massive data,,"Companies analyze big data to understand consumer behavior. (Các công ty phân tích dữ liệu lớn để hiểu hành vi người tiêu dùng.)"
Biometric authentication,require biometric authentication (yêu cầu xác thực sinh trắc học),/ barou metrik  : θεntı kerſən/,Xác thực sinh trắc học,Biological verification,,"Biometric authentication includes fingerprint and facial recognition. (Xác thực sinh trắc học bao gồm nhận dạng vân tay và khuôn mặt.)"
Biometrics,biometrics technology (công nghệ sinh trắc học) / use biometrics (sử dụng sinh trắc học),/ barov metriks/,Sinh trắc học,Biological measurement,,"Many smartphones use biometrics for security. (Nhiều điện thoại thông minh sử dụng sinh trắc học để bảo mật.)"
Cloud computing,cloud computing services (các dịch vụ điện toán đám mây) / adopt cloud computing (áp dụng điện toán đám mây),/klaud kəm pju:tın/,Máy chủ đám mây,Cloud services,Local computing,"Cloud computing allows access to files from anywhere. (Điện toán đám mây cho phép truy cập tệp từ bất cứ đâu.)"
Cloud storage,save to cloud storage (lưu vào bộ nhớ đám mây) / secure cloud storage (bộ nhớ đám mây an toàn),/klaud 'storıd3/,Lưu trữ đám mây,Online storage,Local storage,"I keep all my photos in cloud storage. (Tôi lưu tất cả ảnh của mình trên lưu trữ đám mây.)"
Cloud-based services,utilize cloud-based services (sử dụng các dịch vụ trên đám mây),[klaud-beist 's3:rVISIZ],Dịch vụ dựa trên đám mây,Web-based services,,"Businesses rely heavily on cloud-based services. (Các doanh nghiệp phụ thuộc nhiều vào các dịch vụ dựa trên đám mây.)"
Coding,coding skills (kỹ năng lập trình) / learn coding (học lập trình),/'koudın/,Lập trình,Programming,,"Learning coding is essential for software engineers. (Học lập trình là điều thiết yếu đối với các kỹ sư phần mềm.)"
Computer age,dawn of the computer age (bình minh của kỷ nguyên máy tính) / the modern computer age (kỷ nguyên máy tính hiện đại),/kəm'pju:tər eid3/,Kỷ nguyên máy tính,Digital age,,"We are living in the computer age. (Chúng ta đang sống trong kỷ nguyên máy tính.)"
Computer programming languages,learn computer programming languages (học ngôn ngữ lập trình máy tính),[kəm'pju:tər prou græmin længwidziz],Ngôn ngữ lập trình máy tính,Coding languages,,"Python and Java are popular computer programming languages. (Python và Java là các ngôn ngữ lập trình máy tính phổ biến.)"
Cryptocurrency,invest in cryptocurrency (đầu tư vào tiền điện tử) / cryptocurrency market (thị trường tiền điện tử),/ kriptou karǝnsi/,Tiền điện tử,Digital currency,Fiat money,"Bitcoin is the most well-known cryptocurrency. (Bitcoin là loại tiền điện tử nổi tiếng nhất.)"
