Word,Collocations,Phonetic,Definition,Synonyms,Antonyms,Context
9-to-5 office jobs,quit 9-to-5 office jobs (bỏ công việc giờ hành chính) / traditional 9-to-5 office jobs (công việc hành chính truyền thống),/naɪn-tuː-faɪv ˈɔːfɪs dʒɑːbz/,Công việc văn phòng từ 9 giờ sáng tới 5 giờ chiều,regular office hours / standard daytime jobs,freelance work / flexible hours,"Many youngsters are tired of traditional 9-to-5 office jobs. (Nhiều bạn trẻ đã chán ngán các công việc văn phòng từ 9 giờ sáng tới 5 giờ chiều truyền thống.)"
Provide us with flexibility and convenience,telecommuting can provide us with flexibility and convenience (làm việc từ xa cung cấp sự linh hoạt và tiện lợi),/prəˈvaɪd ʌs wɪθ ˌflɛksəˈbɪləti ənd kənˈviːnjəns/,Cung cấp cho chúng ta sự linh hoạt và tiện lợi,offer adaptability and ease / grant flexible arrangements,impose strict schedules,"Remote work tools provide us with flexibility and convenience. (Các công cụ làm việc từ xa cung cấp cho chúng ta sự linh hoạt và tiện lợi.)"
Work whenever and wherever they prefer,freelancers work whenever and wherever they prefer (người làm tự do làm việc bất cứ đâu họ thích),/wɜːrk ˌwɛnˈɛvər ənd ˌwɛrˈɛvər ðeɪ prɪˈfɜːr/,Làm việc bất cứ khi nào và bất cứ nơi đâu họ thích,have total geographical freedom / work remotely on own terms,work fixed hours in an office,"Digital nomads can work whenever and wherever they prefer. (Những người du mục kỹ thuật số có thể làm việc bất cứ khi nào và bất cứ nơi đâu họ thích.)"
Have to learn how to work alone effectively,employees have to learn how to work alone effectively (nhân viên phải học cách làm việc một mình hiệu quả),/hæv tuː lɜːrn haʊ tuː wɜːrk əˈloʊn ɪˈfɛktɪvli/,Phải học các làm việc 1 mình như thế nào cho hiệu quả,must master independent work / need to develop self-reliance,rely on constant supervision,"When working from home, you have to learn how to work alone effectively. (Khi làm việc tại nhà, bạn phải học cách làm việc 1 mình như thế nào cho hiệu quả.)"
Do not need to go to the office on a daily basis,staff do not need to go to the office on a daily basis (nhân viên không cần đến văn phòng hàng ngày),/du nɑːt niːd tuː ɡoʊ tuː ði ˈɔːfɪs ɑːn ə ˈdeɪli ˈbeɪsɪs/,Không cần tới công sở hàng ngày,skip the daily commute / work off-site regularly,commute to the workplace every day,"Thanks to the hybrid model, we do not need to go to the office on a daily basis. (Nhờ mô hình kết hợp, chúng ta không cần tới công sở hàng ngày.)"
Save a large amount of time commuting,remote workers save a large amount of time commuting (người làm từ xa tiết kiệm nhiều thời gian đi lại),/seɪv ə lɑːrdʒ əˈmaʊnt əv taɪm kəˈmjuːtɪŋ/,Tiết kiệm 1 lượng lớn thời gian đi lại,cut travel time significantly / avoid long transit hours,waste time traveling,"Telecommuting helps you save a large amount of time commuting back and forth to work. (Làm việc từ xa giúp bạn tiết kiệm 1 lượng lớn thời gian đi lại tới nơi làm việc.)"
Do not need to waste time sitting in traffic,you do not need to waste time sitting in traffic (bạn không cần lãng phí thời gian kẹt xe),/du nɑːt niːd tuː weɪst taɪm ˈsɪtɪŋ ɪn ˈtræfɪk/,Không cần lãng phí thời gian kẹt xe,avoid being stuck in traffic jams / bypass rush hour gridlock,endure traffic congestion,"By working remotely, I do not need to waste time sitting in traffic every morning. (Bằng cách làm việc từ xa, tôi không cần lãng phí thời gian kẹt xe mỗi sáng.)"
Have extra time for other important tasks,freelancers have extra time for other important tasks (người làm tự do có thêm thời gian cho việc quan trọng),/hæv ˈɛkstrə taɪm fɔːr ˈʌðər ɪmˈpɔːrtənt tæsks/,Có thêm thời gian cho các việc quan trọng hơn,gain spare time for priorities / free up time for meaningful duties,be overwhelmed with busywork,"Without a commute, I have extra time for other important tasks like exercising. (Không phải đi lại, tôi có thêm thời gian cho các việc quan trọng hơn như tập thể dục.)"
Spend extra time with their children,parents spend extra time with their children (cha mẹ dành thêm thời gian cho con cái),/spɛnd ˈɛkstrə taɪm wɪθ ðɛr ˈtʃɪldrən/,Dành thêm thời gian với con cái hay bạn đời,dedicate more hours to family / be more present for kids,neglect family duties,"Working from home allows parents to spend extra time with their children. (Làm việc tại nhà cho phép cha mẹ dành thêm thời gian với con cái của họ.)"
To be in total control of their working environment,remote staff seem to be in total control of their working environment (nhân viên từ xa hoàn toàn kiểm soát môi trường làm việc),/tuː bi ɪn ˈtoʊtəl kənˈtroʊl əv ðɛr ˈwɜːrkɪŋ ɪnˈvaɪrənmənt/,Hoàn toàn kiểm soát môi trường làm việc của họ,have full authority over the workspace / customize one's own office,work in a restricted cubicle,"Writers love to be in total control of their working environment. (Các nhà văn thích việc hoàn toàn kiểm soát môi trường làm việc của họ.)"
