Word,Collocations,Phonetic,Definition,Synonyms,Antonyms,Context
Parental guidance,need parental guidance (cần sự hướng dẫn của cha mẹ),/pəˈrɛntəl ˈɡaɪdəns/,Sự hướng dẫn của cha mẹ,parental supervision / adult direction,parental neglect,"Children require proper parental guidance when using the internet. (Trẻ em cần sự hướng dẫn đúng đắn của cha mẹ khi sử dụng internet.)"
Have a profound influence on,parents have a profound influence on their children (cha mẹ có ảnh hưởng sâu sắc lên con cái),/hæv ə prəˈfaʊnd ˈɪnfluəns ɑːn/,Có ảnh hưởng sâu sắc lên,have a deep impact on / strongly affect,have no effect on,"Early childhood experiences have a profound influence on personality. (Những trải nghiệm thời thơ ấu có ảnh hưởng sâu sắc đến tính cách.)"
Spend a large amount of time taking care of...,mothers spend a large amount of time taking care of babies (các bà mẹ dành nhiều thời gian chăm sóc em bé),/spɛnd ə lɑːrdʒ əˈmaʊnt əv taɪm ˈteɪkɪŋ kɛr əv/,Dành nhiều thời gian chăm sóc...,devote significant time to looking after,ignore / neglect,"Nurses spend a large amount of time taking care of elderly patients. (Các y tá dành một lượng lớn thời gian để chăm sóc bệnh nhân cao tuổi.)"
Children / offspring / kids,raise children (nuôi dạy con cái) / future offspring (con cái tương lai),/ˈtʃɪldrən / ˈɔːfˌsprɪŋ /,Con cái,youngsters / descendants,parents / ancestors,"Parents always want the best education for their offspring. (Cha mẹ luôn muốn nền giáo dục tốt nhất cho con cái của họ.)"
The primary breadwinner,act as the primary breadwinner (đóng vai trò trụ cột chính),/ðə ˈpraɪˌmɛri ˈbrɛdˌwɪnər/,Trụ cột chính (trong gia đình),the main earner / the chief financial provider,the dependent,"Traditionally, the father was expected to be the primary breadwinner. (Theo truyền thống, người cha được kỳ vọng là trụ cột chính trong gia đình.)"
To be responsible for...,to be responsible for household chores (chịu trách nhiệm về việc nhà),/tuː bi rɪˈspɑːnsəbəl fɔːr/,Chịu trách nhiệm về việc gì,to be in charge of / to be accountable for,to be irresponsible / neglect,"Parents need to be responsible for their children's behavior. (Cha mẹ cần chịu trách nhiệm về hành vi của con cái mình.)"
Childcare and housework,share childcare and housework (chia sẻ việc nhà và chăm sóc trẻ),/ˈtʃaɪldˌkɛr ənd ˈhaʊsˌwɜːrk/,Việc nhà và việc chăm sóc trẻ,raising kids and domestic chores,office work,"Both parents should divide childcare and housework equally. (Cả cha và mẹ nên chia sẻ việc chăm sóc con cái và làm việc nhà một cách bình đẳng.)"
Educate children about the importance of...,educate children about the importance of honesty (giáo dục trẻ về tầm quan trọng của tính trung thực),/ˈɛdʒuˌkeɪt ˈtʃɪldrən əˈbaʊt ði ɪmˈpɔːrtəns əv/,Giáo dục trẻ về tầm quan trọng của...,teach kids the value of / instruct youth about,mislead children,"We must educate children about the importance of environmental protection. (Chúng ta phải giáo dục trẻ em về tầm quan trọng của việc bảo vệ môi trường.)"
Encourage children to...,encourage children to read (khuyến khích trẻ đọc sách),/ɪnˈkɜːrɪdʒ ˈtʃɪldrən tuː/,Khuyến khích trẻ làm gì,motivate kids to / urge youngsters to,discourage children from,"Schools encourage children to participate in physical activities. (Trường học khuyến khích trẻ em tham gia vào các hoạt động thể chất.)"
Engage in screen-time activities,frequently engage in screen-time activities (thường xuyên tham gia các hoạt động qua màn hình),/ɪnˈɡeɪdʒ ɪn skriːn-taɪm ækˈtɪvətiz/,Tham gia những hoạt động màn hình (laptop/điện thoại...),use digital devices / spend time on screens,play outdoors / engage in physical play,"Kids today engage in screen-time activities much more than in the past. (Trẻ em ngày nay dành thời gian vào các thiết bị điện tử nhiều hơn hẳn so với trước kia.)"
