Word,Collocations,Phonetic,Definition,Synonyms,Antonyms,Context
A large metropolis / a big city,live in a large metropolis (sống ở một đô thị lớn),/ə lɑːrdʒ məˈtrɑːpəlɪs/,Một đô thị lớn = một thành phố lớn,a mega-city / an urban hub,a small village / a rural hamlet,"Tokyo is a large metropolis with millions of inhabitants. (Tokyo là một đô thị lớn với hàng triệu cư dân.)"
City dwellers,stressful life for city dwellers (cuộc sống căng thẳng của cư dân thành phố),/ˈsɪti ˈdwɛlərz/,Cư dân thành phố,urban residents / citizens / townspeople,countryside dwellers / rural inhabitants,"City dwellers often complain about the excessive noise and pollution. (Cư dân thành phố thường phàn nàn về tiếng ồn và sự ô nhiễm quá mức.)"
Urbanisation / urban sprawl,rapid urbanisation (đô thị hóa nhanh chóng) / control urban sprawl (kiểm soát sự lan rộng đô thị),/ˌɜːrbənəˈzeɪʃən / ˈɜːrbən sprɔːl/,Đô thị hóa / Sự lan rộng của đô thị,city expansion / metropolitan growth,ruralization,"Unplanned urban sprawl leads to the destruction of green spaces. (Sự lan rộng đô thị không có kế hoạch dẫn đến việc phá hủy các không gian xanh.)"
Intensive urban growth,manage intensive urban growth (quản lý tăng trưởng đô thị mạnh mẽ),/ɪnˈtɛnsɪv ˈɜːrbən ɡroʊθ/,Tăng trưởng đô thị mạnh mẽ,rapid city development / massive urban expansion,urban decline / population shrinkage,"Intensive urban growth has put a massive strain on the city's infrastructure. (Tăng trưởng đô thị mạnh mẽ đã tạo ra áp lực khổng lồ lên cơ sở hạ tầng của thành phố.)"
Residential area,quiet residential area (khu dân cư yên tĩnh) / build a new residential area (xây dựng khu dân cư mới),/ˌrɛzɪˈdɛnʃəl ˈɛriə/,Khu dân cư,housing zone / suburban neighborhood,industrial park / commercial district,"They moved to a peaceful residential area away from the busy center. (Họ đã chuyển đến một khu dân cư yên bình cách xa trung tâm sầm uất.)"
Industrial zone,work in the industrial zone (làm việc tại khu công nghiệp),/ɪnˈdʌstriəl zoʊn/,Khu công nghiệp,manufacturing park / factory district,residential neighborhood,"The factory is located in a large industrial zone on the outskirts. (Nhà máy nằm trong một khu công nghiệp lớn ở ngoại ô.)"
Find it difficult to...,immigrants find it difficult to adapt (người nhập cư cảm thấy khó thích nghi),/faɪnd ɪt ˈdɪfɪkəlt tuː/,Cảm thấy khó khăn làm gì,struggle to / have a hard time doing,find it easy to,"Many newcomers find it difficult to get used to the fast pace of city life. (Nhiều người mới đến cảm thấy khó khăn để quen với nhịp sống hối hả của thành phố.)"
Meet their basic needs,struggle to meet their basic needs (chật vật để đáp ứng nhu cầu cơ bản),/miːt ðɛr ˈbeɪsɪk niːdz/,Đáp ứng nhu cầu cơ bản của họ,fulfill fundamental necessities / provide for oneself,fail to survive,"Due to low wages, many workers cannot even meet their basic needs. (Do mức lương thấp, nhiều công nhân thậm chí không thể đáp ứng nhu cầu cơ bản của họ.)"
Migrate from the countryside to cities,young people migrate from the countryside to cities (thanh niên di cư từ nông thôn ra thành phố),/ˈmaɪɡreɪt frəm ðə ˈkʌntriˌsaɪd tuː ˈsɪtiz/,Di cư từ nông thôn ra thành phố,move to urban areas / undergo rural-to-urban migration,move to the countryside / return to rural areas,"Millions annually migrate from the countryside to cities seeking better jobs. (Hàng triệu người mỗi năm di cư từ nông thôn ra thành phố để tìm kiếm công việc tốt hơn.)"
In search of work,move to the city in search of work (lên thành phố để tìm việc),/ɪn sɜːrtʃ əv wɜːrk/,Để tìm việc,looking for employment / seeking job opportunities,retiring,"He left his hometown in search of work in the capital. (Anh ấy đã rời quê hương để tìm việc ở thủ đô.)"
