Word,Collocations,Phonetic,Definition,Synonyms,Antonyms,Context
Rapidly growing human populations,manage rapidly growing human populations (quản lý dân số tăng trưởng nhanh),/ˈræpɪdli ˈɡroʊɪŋ ˈhjuːmən ˌpɑːpjəˈleɪʃənz/,Dân số tăng trưởng nhanh chóng,booming demographic numbers / fast-expanding populations,declining populations,"Cities are struggling to accommodate rapidly growing human populations. (Các thành phố đang chật vật để đáp ứng dân số tăng trưởng nhanh chóng.)"
A population bomb / a population explosion,fear a population bomb (lo sợ sự bùng nổ dân số),/ə ˌpɑːpjəˈleɪʃən bɑːm/,Sự bùng nổ dân số,a demographic boom / sudden population surge,population collapse,"The 20th century witnessed a population explosion in many developing nations. (Thế kỷ 20 chứng kiến một sự bùng nổ dân số ở nhiều quốc gia đang phát triển.)"
Increase at alarming rates,crime may increase at alarming rates (tội phạm có thể tăng ở mức đáng báo động),/ɪnˈkriːs æt əˈlɑːrmɪŋ reɪts/,Tăng ở mức độ đáng báo động,rise terrifyingly fast / grow at a worrying pace,decrease steadily,"The number of endangered species continues to increase at alarming rates. (Số lượng các loài có nguy cơ tuyệt chủng tiếp tục tăng ở mức độ đáng báo động.)"
An increase in global birth rates,record an increase in global birth rates (ghi nhận sự tăng tỷ lệ sinh toàn cầu),/ən ɪnˈkriːs ɪn ˈɡloʊbəl bɜːrθ reɪts/,1 sự tăng trong tỷ lệ sinh toàn cầu,a rise in worldwide natality / higher global fertility rates,a drop in birth rates,"After the war, there was an unprecedented increase in global birth rates. (Sau chiến tranh, đã có một sự tăng trong tỷ lệ sinh toàn cầu chưa từng có.)"
Advances in science and technology,benefit from advances in science and technology (hưởng lợi từ tiến bộ khoa học công nghệ),/ədˈvænsɪz ɪn ˈsaɪəns ənd tɛkˈnɑːlədʒi/,Các tiến bộ trong khoa học và công nghệ,technological breakthroughs / scientific progress,technological stagnation,"Advances in science and technology have drastically improved our quality of life. (Các tiến bộ trong khoa học và công nghệ đã cải thiện đáng kể chất lượng cuộc sống của chúng ta.)"
An increase in life expectancy,lead to an increase in life expectancy (dẫn đến sự tăng tuổi thọ),/ən ɪnˈkriːs ɪn laɪf ɪkˈspɛktənsi/,Sự tăng trong tuổi thọ,longer lifespans / extended longevity,a decrease in life expectancy,"Better medical services have resulted in an increase in life expectancy. (Dịch vụ y tế tốt hơn đã dẫn đến sự tăng trong tuổi thọ.)"
A decline in mortality rates,cause a decline in mortality rates (làm giảm tỷ lệ tử vong),/ə dɪˈklaɪn ɪn mɔːrˈtæləti reɪts/,Giảm tỷ lệ tỷ vong,a drop in death rates / reduced fatality numbers,an increase in mortality,"Improved sanitation brought about a sharp decline in mortality rates. (Vệ sinh môi trường được cải thiện đã mang lại sự giảm tỷ lệ tử vong rõ rệt.)"
Increased demands for water/food/fossil fuels,cope with increased demands for water (đối phó với nhu cầu nước tăng cao),/ɪnˈkriːst dɪˈmændz fɔːr/,Nhu cầu tăng đối với nước/ thực phẩm/ nhiên liệu hóa thạch,rising need for resources / soaring consumption of essentials,reduced demand for,"Overpopulation leads directly to increased demands for water, food, and fossil fuels. (Bùng nổ dân số dẫn trực tiếp đến nhu cầu tăng đối với nước, thực phẩm và nhiên liệu hóa thạch.)"
Lead to the depletion of natural resources,over-farming will lead to the depletion of natural resources (canh tác quá mức sẽ làm cạn kiệt tài nguyên),/liːd tuː ðə dɪˈpliːʃən əv ˈnætʃərəl rɪˈsɔːrsɪz/,Dẫn tới sự cạn kiệt các nguồn tài nguyên thiên nhiên,cause the exhaustion of raw materials / empty nature's reserves,preserve natural resources,"Reckless mining will inevitably lead to the depletion of natural resources. (Khai thác mỏ bừa bãi chắc chắn sẽ dẫn tới sự cạn kiệt các nguồn tài nguyên thiên nhiên.)"
Exceed the carrying capacity of the earth,humanity might exceed the carrying capacity of the earth (nhân loại có thể vượt sức chứa của trái đất),/ɪkˈsiːd ðə ˈkæriɪŋ kəˈpæsəti əv ði ɜːrθ/,Vượt quá sức chứa của trái đất,surpass the planet's ecological limit / overload the globe,live within ecological limits,"If we do not control the population, we will exceed the carrying capacity of the earth. (Nếu chúng ta không kiểm soát dân số, chúng ta sẽ vượt quá sức chứa của trái đất.)"
Put an end to human survival,nuclear war could put an end to human survival (chiến tranh hạt nhân có thể chấm dứt sự tồn tại của con người),/pʊt ən ɛnd tuː ˈhjuːmən sərˈvaɪvəl/,Đặt dấu chấm hết cho sự tồn tại của con người,extinguish the human race / wipe out humanity,ensure human continuity,"Extreme climate change could eventually put an end to human survival. (Biến đổi khí hậu khắc nghiệt cuối cùng có thể đặt dấu chấm hết cho sự tồn tại của con người.)"
Put heavy pressure on water/food supplies,droughts put heavy pressure on water supplies (hạn hán gây áp lực lớn lên nguồn nước),/pʊt ˈhɛvi ˈprɛʃər ɑːn ˈwɔːtər/fuːd səˈplaɪz/,Đặt áp lực nặng nề lên nguồn cung cấp nước/ thực phẩm,place a massive strain on provisions / severely tax food and water sources,secure food and water reserves,"The growing population continues to put heavy pressure on water and food supplies. (Dân số ngày càng tăng tiếp tục đặt áp lực nặng nề lên nguồn cung cấp nước và thực phẩm.)"
Pose a serious threat to the well-being of planet Earth,pollution will pose a serious threat to the well-being of planet Earth (ô nhiễm sẽ đe dọa sự khỏe mạnh của trái đất),/poʊz ə ˈsɪriəs θrɛt tuː ðə ˈwɛl-ˈbiːɪŋ əv ˈplænɪt ɜːrθ/,Gây ra mối đe dọa nghiêm trọng cho sức khỏe của trái đất,endanger the global ecosystem / jeopardize the Earth's health,protect the planet's environment,"Deforestation continues to pose a serious threat to the well-being of planet Earth. (Việc phá rừng tiếp tục gây ra mối đe dọa nghiêm trọng cho sức khỏe của trái đất.)"
Widespread famine,suffer from widespread famine (chịu đựng nạn đói diện rộng),/ˈwaɪdˌsprɛd ˈfæmɪn/,Đói nghèo trên diện rộng,mass starvation / extensive hunger,food abundance / food security,"Crop failures in the region led to widespread famine. (Mất mùa trong khu vực đã dẫn đến đói nghèo trên diện rộng.)"
Population control methods,implement population control methods (áp dụng các biện pháp kiểm soát dân số),/ˌpɑːpjəˈleɪʃən kənˈtroʊl ˈmɛθədz/,Các phương pháp kiểm soát dân số,demographic management strategies / birth control policies,pro-natalist policies,"The government introduced strict population control methods to curb growth. (Chính phủ đã đưa ra các phương pháp kiểm soát dân số nghiêm ngặt để kìm hãm sự gia tăng.)"
Family planning / limit family sizes,promote family planning (thúc đẩy kế hoạch hóa gia đình),/ˈfæməli ˈplænɪŋ /,Kế hoạch hóa gia đình/ giới hạn kích cỡ gia đình,birth control / regulating offspring numbers,having large families,"Educational campaigns often promote family planning to limit family sizes. (Các chiến dịch giáo dục thường thúc đẩy kế hoạch hóa gia đình để giới hạn kích cỡ gia đình.)"
Provide sex education in schools,authorities should provide sex education in schools (chính quyền nên cung cấp giáo dục giới tính ở trường),/prəˈvaɪd sɛks ˌɛdʒuˈkeɪʃən ɪn skuːlz/,Cung cấp giáo dục giới tính trong các trường học,teach sexual health / offer reproductive education,censor reproductive education,"To prevent teen pregnancies, it is crucial to provide sex education in schools. (Để ngăn ngừa mang thai ở tuổi vị thành niên, việc cung cấp giáo dục giới tính trong các trường học là rất quan trọng.)"

