Word,Collocations,Phonetic,Definition,Synonyms,Antonyms,Context
Economic inequality,address economic inequality (giải quyết bất bình đẳng kinh tế) / rising economic inequality (bất bình đẳng kinh tế gia tăng),/ˌiːkəˈnɑːmɪk ˌɪnɪˈkwɑːləti/,Sự mất cân bằng kinh tế,wealth disparity / financial imbalance,economic equality / wealth parity,"Economic inequality can lead to social unrest and crime. (Sự mất cân bằng kinh tế có thể dẫn đến bất ổn xã hội và tội phạm.)"
The growing disparity between the wealthy and the poor,reduce the growing disparity between the wealthy and the poor (giảm sự chênh lệch giữa người giàu và nghèo),/ðə ˈɡroʊɪŋ dɪˈspærəti bɪˈtwiːn ðə ˈwɛlθi ənd ðə pʊr/,Sự chênh lệch ngày càng tăng giữa người giàu và người nghèo,the widening wealth gap / the increasing rich-poor divide,wealth distribution,"Tax reforms aim to tackle the growing disparity between the wealthy and the poor. (Các cải cách thuế nhằm mục đích giải quyết sự chênh lệch ngày càng tăng giữa người giàu và người nghèo.)"
Narrow/widen/increase income inequality,narrow income inequality (thu hẹp bất bình đẳng thu nhập) / widen income inequality (mở rộng bất bình đẳng thu nhập),/ˈnæroʊ / ˈwaɪdən / ɪnˈkriːs ˈɪnkʌm ˌɪnɪˈkwɑːləti/,Thu hẹp / mở rộng / tăng bất bình đẳng thu nhập,reduce/grow the wage gap,bridge the financial gap,"Education is a powerful tool to narrow income inequality. (Giáo dục là một công cụ mạnh mẽ để thu hẹp bất bình đẳng thu nhập.)"
Income disparities,severe income disparities (sự chênh lệch thu nhập nghiêm trọng) / address income disparities (giải quyết chênh lệch thu nhập),/ˈɪnkʌm dɪˈspærətiz/,Những sự chênh lệch về thu nhập,wage gaps / pay differences,income equality / fair wages,"Income disparities often result in unequal access to healthcare. (Những sự chênh lệch về thu nhập thường dẫn đến việc tiếp cận dịch vụ y tế không bình đẳng.)"
High levels of inequality,suffer from high levels of inequality (chịu đựng mức độ bất bình đẳng cao),/haɪ ˈlɛvəlz əv ˌɪnɪˈkwɑːləti/,Mức độ bất bình đẳng cao,extreme disparity / profound unevenness,egalitarianism,"Developing nations often experience high levels of inequality. (Các quốc gia đang phát triển thường trải qua mức độ bất bình đẳng cao.)"
Cannot meet their basic needs,families cannot meet their basic needs (các gia đình không thể đáp ứng nhu cầu cơ bản),/kæˈnɑːt miːt ðɛr ˈbeɪsɪk niːdz/,Không thể đáp ứng nhu cầu cơ bản (thực phẩm và chỗ ở),unable to afford necessities / fail to sustain a living,live comfortably / afford luxuries,"Due to inflation, many citizens cannot meet their basic needs such as food and accommodation. (Do lạm phát, nhiều công dân không thể đáp ứng nhu cầu cơ bản của họ như thực phẩm và chỗ ở.)"
Do not have access to proper education,poor children do not have access to proper education (trẻ em nghèo không được tiếp cận giáo dục phù hợp),/du nɑːt hæv ˈæksɛs tuː ˈprɑːpər ˌɛdʒuˈkeɪʃən/,Không được tiếp cận với giáo dục phù hợp,lack quality schooling / be deprived of good learning,enjoy top-tier education,"In rural areas, many kids do not have access to proper education. (Ở các vùng nông thôn, nhiều trẻ em không được tiếp cận với giáo dục phù hợp.)"
Have difficulty finding a good job,graduates have difficulty finding a good job (sinh viên tốt nghiệp gặp khó khăn trong việc tìm việc tốt),/hæv ˈdɪfɪkəlti ˈfaɪndɪŋ ə ɡʊd dʒɑːb/,Gặp khó khăn trong việc tìm kiếm một công việc tốt,struggle to secure employment / face hurdles in job hunting,easily land a career,"Without a degree, you will have difficulty finding a good job. (Nếu không có bằng cấp, bạn sẽ gặp khó khăn trong việc tìm kiếm một công việc tốt.)"
A lack of practical skills and experience,suffer from a lack of practical skills and experience (thiếu kỹ năng thực tế và kinh nghiệm),/ə læk əv ˈpræktɪkəl skɪlz ənd ɪkˈspɪriəns/,Thiếu kỹ năng và kinh nghiệm thực tế,deficiency in hands-on abilities / insufficient real-world expertise,abundance of professional skills,"A lack of practical skills and experience hinders many youths from getting hired. (Sự thiếu kỹ năng và kinh nghiệm thực tế cản trở nhiều thanh niên được tuyển dụng.)"
Struggle financially / face financial problems,families struggle financially (các gia đình gặp khó khăn tài chính),/ˈstrʌɡəl faɪˈnænʃəli /,Khó khăn tài chính / đối mặt với vấn đề tài chính,experience economic hardship / deal with money troubles,be financially stable / thrive economically,"During the recession, many small businesses struggle financially. (Trong thời kỳ suy thoái, nhiều doanh nghiệp nhỏ đối mặt với khó khăn tài chính.)"
Do not know how to invest effectively,young adults do not know how to invest effectively (người trẻ không biết cách đầu tư hiệu quả),/du nɑːt noʊ haʊ tuː ɪnˈvɛst ɪˈfɛktɪvli/,Không biết cách đầu tư hiệu quả / quản lý ngân sách tốt hơn,lack financial literacy / have poor investment strategies,be financially savvy,"Poverty persists partly because people do not know how to invest effectively. (Tình trạng nghèo đói kéo dài một phần vì mọi người không biết cách đầu tư hiệu quả.)"
Provide free education to poor people,governments should provide free education to poor people (chính phủ nên cung cấp giáo dục miễn phí cho người nghèo),/prəˈvaɪd friː ˌɛdʒuˈkeɪʃən tuː pʊr ˈpiːpəl/,Cung cấp giáo dục miễn phí cho người nghèo,offer subsidized schooling to the underprivileged,charge high tuition fees,"To break the cycle of poverty, we must provide free education to poor people. (Để phá vỡ vòng luẩn quẩn của sự nghèo đói, chúng ta phải cung cấp giáo dục miễn phí cho người nghèo.)"
Provide financial support to,provide financial support to startups (cung cấp hỗ trợ tài chính cho khởi nghiệp),/prəˈvaɪd faɪˈnænʃəl səˈpɔːrt tuː/,Cung cấp hỗ trợ tài chính cho...,offer economic assistance to / grant funding to,withdraw funding from,"The state will provide financial support to low-income households. (Nhà nước sẽ cung cấp hỗ trợ tài chính cho các hộ gia đình thu nhập thấp.)"
Provide free financial courses,schools should provide free financial courses (trường học nên cung cấp khóa học tài chính miễn phí),/prəˈvaɪd friː faɪˈnænʃəl ˈkɔːrsɪz/,Cung cấp khóa học tài chính miễn phí (về cách quản lý tài chính),offer complimentary money management workshops,,"Communities provide free financial courses to teach adults how to budget. (Các cộng đồng cung cấp khóa học tài chính miễn phí để dạy người lớn cách lập ngân sách.)"
Do not have the chance to learn skills,students do not have the chance to learn skills (học sinh không có cơ hội học kỹ năng),/du nɑːt hæv ðə tʃæns tuː lɜːrn skɪlz/,Không có cơ hội học các kỹ năng (như quản lý tiền bạc),lack opportunities for skill development / miss out on practical training,receive comprehensive training,"Many youths do not have the chance to learn skills that are necessary for their future jobs. (Nhiều thanh niên không có cơ hội học các kỹ năng cần thiết cho công việc tương lai của họ.)"
Raise public awareness of the importance of,raise public awareness of the importance of financial education (nâng cao nhận thức cộng đồng về tầm quan trọng của GD tài chính),/reɪz ˈpʌblɪk əˈwɛrnəs əv ði ɪmˈpɔːrtəns əv/,Nâng cao nhận thức cộng đồng về tầm quan trọng của...,increase societal understanding about / promote the value of,,"We must raise public awareness of the importance of financial education for teens. (Chúng ta phải nâng cao nhận thức cộng đồng về tầm quan trọng của giáo dục tài chính cho thanh thiếu niên.)"
Lead to various social problems,poverty can lead to various social problems (nghèo đói có thể dẫn đến nhiều vấn đề xã hội),/liːd tuː ˈvɛriəs ˈsoʊʃəl ˈprɑːbləmz/,Dẫn đến các vấn đề xã hội khác nhau,cause multiple societal issues / result in community troubles,foster social harmony,"High unemployment rates inevitably lead to various social problems. (Tỷ lệ thất nghiệp cao chắc chắn dẫn đến các vấn đề xã hội khác nhau.)"
Increase in poverty and crime rates,a sharp increase in poverty and crime rates (sự gia tăng mạnh mẽ tỷ lệ nghèo đói và tội phạm),/ɪnˈkriːs ɪn ˈpɑːvərti ənd kraɪm reɪts/,Tăng tỷ lệ nghèo đói và tội phạm,rise in destitution and criminality,decrease in poverty and crime,"The economic crisis caused an alarming increase in poverty and crime rates. (Cuộc khủng hoảng kinh tế đã gây ra sự tăng tỷ lệ nghèo đói và tội phạm đáng báo động.)"
Lead to tension and conflicts,inequality can lead to tension and conflicts (bất bình đẳng có thể dẫn đến căng thẳng và xung đột),/liːd tuː ˈtɛnʃən ənd ˈkɑːnflɪkts/,Dẫn đến căng thẳng và xung đột (bạo loạn xã hội),breed hostility and clashes / cause social riots,promote peace and stability,"A massive wealth gap will ultimately lead to tension and conflicts. (Khoảng cách giàu nghèo khổng lồ cuối cùng sẽ dẫn đến căng thẳng và xung đột.)"
Strikes/demonstrations are happening,strikes are happening nationwide (đình công đang diễn ra trên toàn quốc),/straɪks / ˌdɛmənˈstreɪʃənz ɑːr ˈhæpənɪŋ/,Các cuộc đình công / biểu tình đang diễn ra,protests are taking place / walkouts are occurring,,"Strikes and demonstrations are happening in some parts of the world over low wages. (Các cuộc đình công và biểu tình đang diễn ra ở một số nơi trên thế giới vì mức lương thấp.)"
Pose a serious threat to the safety and stability of society,gangs pose a serious threat to the safety and stability of society (băng đảng gây đe dọa sự an toàn xã hội),/poʊz ə ˈsɪriəs θrɛt tuː ðə ˈseɪfti ənd stəˈbɪləti əv səˈsaɪəti/,Đặt ra một mối đe dọa nghiêm trọng đối với sự an toàn và ổn định của xã hội,endanger societal security and peace / jeopardize public order,ensure social security,"Uncontrolled crime will pose a serious threat to the safety and stability of society. (Tội phạm không được kiểm soát sẽ đặt ra một mối đe dọa nghiêm trọng đối với sự an toàn và ổn định của xã hội.)"
To be willing to do anything just to survive,starving people are willing to do anything just to survive (người chết đói sẵn sàng làm mọi thứ để tồn tại),/tuː bi ˈwɪlɪŋ tuː du ˈɛniˌθɪŋ dʒʌst tuː sərˈvaɪv/,Sẵn sàng làm bất cứ điều gì chỉ để tồn tại,prepared to go to any lengths to live / ready to break the law to stay alive,,"Desperate people tend to be willing to do anything just to survive. (Những người tuyệt vọng có xu hướng sẵn sàng làm bất cứ điều gì chỉ để tồn tại.)"
Introduce laws regarding wealth redistribution,governments must introduce laws regarding wealth redistribution (chính phủ phải ban hành luật phân phối lại tài sản),/ˌɪntrəˈduːs lɔːz rɪˈɡɑːrdɪŋ wɛlθ ˌriːdɪstrɪˈbjuːʃən/,Ban hành luật liên quan đến phân phối lại tài sản hoặc thuế,enact legislation for sharing wealth / pass taxation laws,,"Politicians promised to introduce laws regarding wealth redistribution to help the poor. (Các chính trị gia hứa sẽ ban hành luật liên quan đến phân phối lại tài sản để giúp đỡ người nghèo.)"
Employ a progressive tax and benefits system,countries should employ a progressive tax and benefits system (các quốc gia nên áp dụng hệ thống thuế lũy tiến),/ɪmˈplɔɪ ə prəˈɡrɛsɪv tæks ənd ˈbɛnəfɪts ˈsɪstəm/,Sử dụng một hệ thống thuế lũy tiến và phúc lợi,implement graduated taxation / apply a tiered tax scheme,use a flat tax system,"Nordic countries successfully employ a progressive tax and benefits system to ensure equality. (Các nước Bắc Âu sử dụng thành công một hệ thống thuế lũy tiến và phúc lợi để đảm bảo sự bình đẳng.)"

