Word,Collocations,Phonetic,Definition,Synonyms,Antonyms,Context
People who travel by car / car users,increase in car users (sự gia tăng người dùng ô tô) / daily car users (người dùng ô tô hàng ngày),/ˈkɑːr ˈjuːzərz/,Những người đi lại bằng xe hơi,automobile commuters / drivers,pedestrians / cyclists,"The city needs to reduce the number of people who travel by car to cut emissions. (Thành phố cần giảm số lượng người đi lại bằng xe hơi để cắt giảm khí thải.)"
People who travel by train / train passengers,frequent train passengers (hành khách đi tàu thường xuyên) / assist train passengers (hỗ trợ hành khách đi tàu),/treɪn ˈpæsəndʒərz/,Những người đi lại bằng xe lửa,rail commuters / railway travelers,car users,"Train passengers experienced severe delays this morning. (Những người đi lại bằng xe lửa đã trải qua sự chậm trễ nghiêm trọng sáng nay.)"
Drive to work / commute to work by car,drive to work daily (lái xe đi làm hàng ngày) / prefer to commute to work by car (thích lái xe đi làm hơn),/draɪv tuː wɜːrk/,Đi làm bằng xe hơi,take the car to work / travel by automobile,walk to work / cycle to work,"More people drive to work now because of the unreliable bus service. (Hiện nay có nhiều người lái xe đi làm hơn vì dịch vụ xe buýt không đáng tin cậy.)"
Use public transport instead of private vehicles,encourage people to use public transport (khuyến khích mọi người dùng phương tiện công cộng),/juːz ˈpʌblɪk ˈtrænspɔːrt/,Sử dụng phương tiện giao thông công cộng thay vì xe riêng,take mass transit / utilize public conveyances,drive private cars,"To reduce pollution, we must use public transport instead of private vehicles. (Để giảm ô nhiễm, chúng ta phải sử dụng phương tiện giao thông công cộng thay vì xe riêng.)"
The most popular way to commute / mode of transport,become the most popular mode of transport (trở thành phương tiện giao thông phổ biến nhất),/ðə moʊst ˈpɑːpjələr weɪ tuː kəˈmjuːt/,Cách phổ biến nhất để đi lại / phương tiện giao thông phổ biến nhất,the primary means of travel / preferred transit method,uncommon transport,"Motorbikes are the most popular mode of transport in Vietnam. (Xe máy là phương tiện giao thông phổ biến nhất ở Việt Nam.)"
Commuting costs,reduce commuting costs (giảm chi phí đi lại) / high commuting costs (chi phí đi lại cao),/kəˈmjuːtɪŋ kɔːsts/,Chi phí đi lại,travel expenses / transit fares,,"Working from home helps employees save a lot on commuting costs. (Làm việc tại nhà giúp nhân viên tiết kiệm rất nhiều chi phí đi lại.)"
Commute/travel long distances to...,commute long distances to work (đi làm xa) / travel long distances to school (đi học xa),/kəˈmjuːt lɔːŋ ˈdɪstənsɪz/,Đi quãng đường dài tới...,travel far / make a long journey,live nearby / commute locally,"Many people commute long distances to the city center every day. (Nhiều người đi quãng đường dài tới trung tâm thành phố mỗi ngày.)"
Daily travel / daily commute,stressful daily commute (việc đi lại hàng ngày căng thẳng) / daily travel routine (thói quen đi lại hàng ngày),/ˈdeɪli ˈtrævəl / kəˈmjuːt/,Việc đi lại hàng ngày,everyday journey / routine transit,,"Listening to podcasts can make your daily commute more enjoyable. (Nghe podcast có thể làm cho việc đi lại hàng ngày của bạn thú vị hơn.)"
Driving under the influence of...,driving under the influence of alcohol (lái xe khi say rượu) / arrest for driving under the influence (bắt giữ vì lái xe khi say xỉn),/ˈdraɪvɪŋ ˈʌndər ði ˈɪnfluəns əv/,Lái xe dưới sự ảnh hưởng của (rượu/bia/chất kích thích),drunk driving / operating a vehicle while intoxicated,sober driving,"Driving under the influence of alcohol is a serious crime. (Lái xe dưới sự ảnh hưởng của rượu là một tội nghiêm trọng.)"
Run a red light,caught running a red light (bị bắt vì vượt đèn đỏ) / accidentally run a red light (vô tình vượt đèn đỏ),/rʌn ə rɛd laɪt/,Vượt đèn đỏ,blow a stoplight / ignore a red signal,stop at a red light,"He was fined heavily after he ran a red light. (Anh ta đã bị phạt nặng sau khi vượt đèn đỏ.)"
Pedestrian,pedestrian crossing (lối qua đường cho người đi bộ) / pedestrian safety (an toàn cho người đi bộ),/pəˈdɛstriən/,Người đi bộ,walker / foot traveler,driver / motorist,"Drivers must always yield to pedestrians at the crosswalk. (Tài xế luôn phải nhường đường cho người đi bộ tại vạch kẻ đường.)"
Cycle lanes / bike lanes,build new cycle lanes (xây dựng làn đường xe đạp mới) / dedicated bike lanes (làn đường xe đạp chuyên dụng),/ˈsaɪkəl leɪnz /,Những tuyến đường dành cho người đi xe đạp,bicycle paths / cycling routes,motorway / car lanes,"Adding more cycle lanes encourages people to bike to work safely. (Việc bổ sung thêm các làn đường dành cho xe đạp khuyến khích mọi người đạp xe đi làm an toàn.)"
Improve road traffic safety,measures to improve road traffic safety (biện pháp cải thiện an toàn giao thông),/ɪmˈpruːv roʊd ˈtræfɪk ˈseɪfti/,Cải thiện an toàn giao thông đường bộ,enhance driving security / make roads safer,worsen traffic hazards,"Strict speed limits can significantly improve road traffic safety. (Giới hạn tốc độ nghiêm ngặt có thể cải thiện đáng kể an toàn giao thông đường bộ.)"
Reduce traffic accidents,campaign to reduce traffic accidents (chiến dịch giảm thiểu tai nạn giao thông),/rɪˈduːs ˈtræfɪk ˈæksɪdənts/,Giảm thiểu tai nạn giao thông,cut down on road crashes / minimize vehicle collisions,increase road fatalities,"Better street lighting helps reduce traffic accidents at night. (Hệ thống chiếu sáng đường phố tốt hơn giúp giảm thiểu tai nạn giao thông vào ban đêm.)"
Driving offence,commit a driving offence (phạm luật giao thông) / minor driving offence (vi phạm giao thông nhẹ),/ˈdraɪvɪŋ əˈfɛns/,Sự vi phạm luật giao thông,traffic violation / motoring crime,safe driving / law-abiding driving,"Using a mobile phone while driving is a serious driving offence. (Sử dụng điện thoại di động khi đang lái xe là một sự vi phạm luật giao thông nghiêm trọng.)"
Licence suspension,face licence suspension (đối mặt với việc bị tịch thu bằng lái) / temporary licence suspension (tịch thu bằng lái tạm thời),/ˈlaɪsəns səˈspɛnʃən/,Việc tịch thu bằng lái,driving ban / revocation of license,licence renewal,"Accumulating too many penalty points leads to licence suspension. (Tích lũy quá nhiều điểm phạt dẫn đến việc bị tịch thu bằng lái.)"
Install speed cameras,install speed cameras in residential areas (lắp đặt camera tốc độ ở khu dân cư),/ɪnˈstɔːl spiːd ˈkæmərəz/,Lắp đặt các camera theo dõi tốc độ,set up traffic cameras / place speed traps,remove speed monitors,"The council decided to install speed cameras to deter fast drivers. (Hội đồng đã quyết định lắp đặt các camera theo dõi tốc độ để ngăn chặn những người lái xe ẩu.)"
Speeding,fined for speeding (bị phạt vì chạy quá tốc độ) / dangerous speeding (phóng nhanh nguy hiểm),/ˈspiːdɪŋ/,Việc lái xe quá tốc độ,driving too fast / exceeding the speed limit,driving slowly / keeping to the limit,"Speeding is one of the leading causes of fatal car crashes. (Việc lái xe quá tốc độ là một trong những nguyên nhân hàng đầu gây ra tai nạn ô tô chết người.)"
Impose stricter punishments on sb,impose stricter punishments on drunk drivers (áp dụng hình phạt nghiêm khắc hơn cho tài xế say rượu),/ɪmˈpoʊz ˈstrɪktər ˈpʌnɪʃmənts ɑːn/,Áp đặt các hình phạt nghiêm khắc hơn lên ai đó,enforce harsher penalties / mete out tougher sentences,show leniency to,"The government should impose stricter punishments on serial traffic offenders. (Chính phủ nên áp đặt các hình phạt nghiêm khắc hơn lên những người vi phạm giao thông liên tục.)"
Traffic jams / traffic congestion,stuck in traffic jams (kẹt trong tắc đường) / severe traffic congestion (ùn tắc giao thông nghiêm trọng),/ˈtræfɪk dʒæmz/,Sự ùn tắc giao thông,gridlock / traffic bottlenecks,clear roads / smooth traffic flow,"Traffic congestion in the city center makes commuting a nightmare. (Sự ùn tắc giao thông ở trung tâm thành phố khiến việc đi lại trở thành cơn ác mộng.)"
Bad driving habits,break bad driving habits (bỏ thói quen lái xe xấu) / common bad driving habits (những thói quen lái xe xấu phổ biến),/bæd ˈdraɪvɪŋ ˈhæbɪts/,Những thói quen xấu khi lái xe,reckless driving behaviors / poor motoring routines,safe driving practices,"Tailgating and abrupt lane changes are examples of bad driving habits. (Bám đuôi quá sát và chuyển làn đột ngột là những ví dụ về thói quen lái xe xấu.)"
Congestion pricing / congestion charges,introduce congestion pricing (áp dụng phí kẹt xe) / pay congestion charges (trả phí ùn tắc),/kənˈdʒɛstʃən ˈpraɪsɪŋ/,Việc thu phí ùn tắc giao thông,traffic tolls / urban tolling,free toll,"London uses congestion pricing to limit the number of cars downtown. (London sử dụng việc thu phí ùn tắc giao thông để hạn chế số lượng ô tô vào trung tâm thành phố.)"
Ban cars from city centres,propose to ban cars from city centres (đề xuất cấm xe hơi khỏi trung tâm thành phố),/bæn kɑːrz frəm ˈsɪti ˈsɛntərz/,Cấm xe hơi khỏi các trung tâm thành phố,restrict vehicles in downtown areas / pedestrianize central zones,allow cars everywhere,"To reduce smog, they decided to ban cars from city centres on weekends. (Để giảm khói bụi, họ đã quyết định cấm xe hơi khỏi các trung tâm thành phố vào cuối tuần.)"
Parking space,find a parking space (tìm chỗ đậu xe) / lack of parking space (thiếu khu vực đậu xe),/ˈpɑːrkɪŋ speɪs/,Khu vực đậu xe,parking spot / parking lot,,"It took me twenty minutes to find a parking space near the mall. (Tôi mất hai mươi phút để tìm một khu vực đậu xe gần trung tâm mua sắm.)"
