Word,Collocations,Phonetic,Definition,Synonyms,Antonyms,Context
Instil cultural and traditional values into somebody,instil traditional values into children (thấm nhuần giá trị truyền thống cho trẻ em),/ɪnˈstɪl ˈkʌltʃərəl ˈvæljuːz/,Thấm nhuần các giá trị truyền thống và văn hóa vào ai đó,implant values / ingrain traditions,erase culture / neglect heritage,"Parents should instil cultural and traditional values into their kids. (Cha mẹ nên truyền thụ các giá trị văn hóa và truyền thống cho con cái họ.)"
Cultural diversity,promote cultural diversity (thúc đẩy sự đa dạng văn hóa),/ˈkʌltʃərəl daɪˈvɜːrsəti/,Sự đa dạng văn hóa,multiculturalism / ethnic variety,cultural homogeneity,"Cultural diversity enriches a society and brings new perspectives. (Sự đa dạng văn hóa làm phong phú một xã hội và mang lại những góc nhìn mới.)"
Cultural identity,maintain cultural identity (duy trì bản sắc văn hóa),/ˈkʌltʃərəl aɪˈdɛntəti/,Bản sắc văn hóa,national identity / cultural uniqueness,cultural loss,"Language is a crucial part of our cultural identity. (Ngôn ngữ là một phần cốt lõi của bản sắc văn hóa chúng ta.)"
Cultural heritage,preserve cultural heritage (bảo tồn di sản văn hóa),/ˈkʌltʃərəl ˈhɛrɪtɪdʒ/,Di sản văn hóa,traditional legacy / national heritage,,"Museums help us protect and celebrate our cultural heritage. (Các bảo tàng giúp chúng ta bảo vệ và tôn vinh di sản văn hóa của mình.)"
Cultural assimilation,experience cultural assimilation (trải qua sự hòa tan văn hóa),/ˈkʌltʃərəl əˌsɪməˈleɪʃən/,Sự hòa tan văn hóa,cultural integration / blending in,cultural preservation,"Cultural assimilation often happens when immigrants move to a new country. (Sự đồng hóa văn hóa thường xảy ra khi những người nhập cư chuyển đến một quốc gia mới.)"
Traditional beliefs and customs,uphold traditional beliefs and customs (giữ gìn các phong tục và tín ngưỡng truyền thống),/trəˈdɪʃənəl bɪˈliːfs ənd ˈkʌstəmz/,Các phong tục và niềm tin truyền thống,heritage practices / conventional rituals,modern trends / new habits,"Many villages still practice their traditional beliefs and customs. (Nhiều ngôi làng vẫn thực hành các tín ngưỡng và phong tục truyền thống của họ.)"
The loss of traditional cultures / the disappearance of traditional ways of life,prevent the loss of traditional cultures (ngăn chặn sự mất đi của các văn hóa truyền thống),/ðə lɔːs əv trəˈdɪʃənəl ˈkʌltʃərz/,Sự mất đi của các văn hóa truyền thống,cultural extinction / fading heritage,cultural preservation,"Globalization often leads to the disappearance of traditional ways of life. (Toàn cầu hóa thường dẫn đến sự biến mất của các lối sống truyền thống.)"
Adopt a new culture,willing to adopt a new culture (sẵn sàng theo một nền văn hóa mới),/əˈdɑːpt ə nuː ˈkʌltʃər/,Theo một nền văn hóa mới,embrace a new culture / assimilate,reject a culture / stick to old ways,"It takes time to adapt and adopt a new culture completely. (Cần có thời gian để thích nghi và theo một nền văn hóa mới hoàn toàn.)"
To be in danger of extinction,languages in danger of extinction (ngôn ngữ đứng trước nguy cơ tuyệt chủng),/ɪn ˈdeɪndʒər əv ɪkˈstɪŋkʃən/,Đứng trước nguy cơ tuyệt chủng,on the verge of extinction / highly endangered,thriving / flourishing,"Many indigenous tribes are in danger of extinction. (Nhiều bộ lạc bản địa đang đứng trước nguy cơ tuyệt chủng.)"
Culture shock and other culture-related problems,suffer from culture shock (chịu đựng cú sốc văn hóa),/ˈkʌltʃər ʃɑːk/,Sốc văn hóa và những vấn đề khác liên quan đến văn hóa,cultural disorientation / integration difficulties,cultural familiarity,"International students often face culture shock and other culture-related problems. (Du học sinh thường đối mặt với cú sốc văn hóa và các vấn đề liên quan đến văn hóa khác.)"
Experience great culture shock,experience great culture shock abroad (trải qua cú sốc văn hóa lớn ở nước ngoài),/ɪkˈspɪriəns ɡreɪt ˈkʌltʃər ʃɑːk/,Trải qua cú sốc văn hóa lớn,feel culturally alienated / suffer severe culture shock,adapt easily,"When I first moved to Japan, I experienced great culture shock. (Khi mới chuyển đến Nhật Bản, tôi đã trải qua một cú sốc văn hóa lớn.)"
Bring a wide range of benefits to...,bring a wide range of benefits to society (mang lại nhiều lợi ích cho xã hội),/brɪŋ ə waɪd reɪndʒ əv ˈbɛnəfɪts tuː/,Mang lại nhiều lợi ích cho...,offer numerous advantages / provide various benefits,cause significant harm to,"Learning a second language can bring a wide range of benefits to your career. (Học ngôn ngữ thứ hai có thể mang lại nhiều lợi ích cho sự nghiệp của bạn.)"
Have a negative/detrimental impact on...,have a detrimental impact on local traditions (có tác động tiêu cực lên truyền thống địa phương),/hæv ə ˌdɛtrəˈmɛntəl ˈɪmpækt ɑːn/,Có tác động tiêu cực lên...,cause damage to / adversely affect,have a positive impact on,"Mass tourism can have a detrimental impact on historical sites. (Du lịch ồ ạt có thể có tác động tiêu cực lên các di tích lịch sử.)"
Get deeper insight into...,get deeper insight into local customs (có được cái nhìn sâu sắc hơn về phong tục địa phương),/ɡɛt ˈdiːpər ˈɪnsaɪt ˈɪntuː/,Có được cái nhìn sâu sắc hơn về...,gain a profound understanding of / understand thoroughly,remain ignorant of,"Reading literature helps us get deeper insight into foreign cultures. (Đọc văn học giúp chúng ta có cái nhìn sâu sắc hơn về các nền văn hóa nước ngoài.)"
